default;ArticleBase;ArticleBase;ArticleDetails;ArticleDetails;ArticlePrices;ArticleCategory;ArticleCategory;ArticleCategory
ArtikelNo;Title;EAN;ASIN;Discription;SalePrice;Category1;Category2;Category3
62400;WW Gallerie Aegean Sea Dose 240g, Dose,;6635957762578;B00B5QU6FW;Woodwick Duftkerze in Metalldose, Duft Aegean Sea, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62401;WW Gallerie Bourbon Creme Brulee, D 240g;6635957764008;B00B5QU6U2;Woodwick Duftkerze in Metalldose, Duft Bourbon Creme Brulee, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62402;WW Gallerie Chocolate Pepper Dose 240g,;6635957762646;B00B5QU738;WoodWick Duftkerze CHOCOLATE PEPPER in Dose rund 62402;13,95;Duft;WoodWick;Gallery Kerzen
62403;WW Gallerie Evening Onyx Dose 240g, Dose;6635957762714;B00B5QU7BA;Woodwick Duftkerze in Metalldose, Duft Evening Onyx, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62404;WW Gallerie Fresh Persimmon Dose 240g, D;6635957762882;B00B5QU7J2;Woodwick Duftkerze in Metalldose, Duft Fresh Persimmon, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62405;WW Gallerie Lavender Ivory Dose 240g, Do;6635957762950;B00B5QU7U6;Woodwick Duftkerze in Metalldose, Duft Lavender Ivory, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62406;WW Gallerie Lemon Verbena Dose 240g, Dos;6635957763018;B00B5QU81O;Woodwick Duftkerze in Metalldose, Duft Lemon Verbena, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62407;WW Gallerie  Raspberry Yuzu 240g, Dose,;6635957764244;B00B5QU8IW;Woodwick Duftkerze in Metalldose, Duft Raspberry Yuzu, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62408;WW Gallerie Spice Market Dose 240g, Dose;6635957763322;B00B5QU8VE;Woodwick Duftkerze in Metalldose, Duft Spice Market, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62409;WW Gallerie  Sterling Amber 240g, Dose,;6635957763490;B00B5QU92M;Woodwick Duftkerze in Metalldose, Duft Sterling Embers, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62410;WW Gallerie Vanilla Opal Dose 240g, Dose;6635957763568;B00B5QU9G8;Woodwick Duftkerze in Metalldose, Duft Vanilla Opal, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62411;WW Gallerie Venetian Lace Dose 240g, Dos;6635957763636;B00B5QU9UO;Woodwick Duftkerze in Metalldose, Duft Venetian Lace, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62412;WW Gallerie Coral Berry Mimosa 240g, Dos;6635957765234;B00B5QUA76;Woodwick Duftkerze in Metalldose, Duft Coral Berry Mimosa, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
62413;WW Gallerie Santorini Melon 240g, Dose,;6635957763254;B00B5QUAHG;Woodwick Duftkerze in Metalldose, Duft Santorini Melon, 240 g, 65 Stunden Brenndauer von Virginia Candle Company;13,95;Duft;WoodWick;Gallery Kerzen
